city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
montepuez,-13.1253048,39.0016963,Clouds,69.62,86,1012,6.15
hornepayne,49.2181387,-84.7752864,Rain,37.94,99,1017,3.78
garowe,8.406143,48.483195,Clouds,72.54,82,1013,9.75
porbandar,21.6409,69.611,Clear,77.68,58,1014,6.93
maturin,9.7422774,-63.1888854,Clouds,80.49,94,1009,10.36
adrar,27.8733807,-0.2874884,Clear,64.62,17,1017,14.97
honiara,-9.4310769,159.9552552,Rain,87.26,67,1008,7.4
bulgan,46.0940671,91.5525913,Clouds,25.11,47,1032,7.56
sao filipe,14.8952963,-24.4969361,Clouds,77.97,68,1015,9.1
celestun,20.8604208,-90.3994361,Clear,78.24,68,1013,12.15
kloulklubed,7.0415131,134.2564595,Rain,84.45,77,1010,15.39
marcona,-15.2155331,-75.08303444567473,Clouds,59.85,77,1016,8.01
korla,41.7238743,86.173541,Clouds,43.61,61,1025,9.62
port macquarie,-31.4299499,152.9103525,Clouds,72.84,49,1022,5.37
mata,-29.5637643,-54.4590898,Clouds,63.68,67,1014,7.56
armacao dos buzios,-22.7597805,-41.8875267,Rain,69.85,92,1017,17.69
illapel,-31.6326932,-71.1683039,Clouds,59.05,73,1019,4.18
turtas,58.9376066,69.1314643,Snow,29.48,98,1015,4.76
basco,40.3278229,-91.2001437,Clear,73.27,80,1018,9.66
kawalu,-1.9593,123.8495,Clouds,83.12,73,1011,2.55
avera,43.3896226,-0.1768284,Fog,48.06,94,1023,3.44
severnoye,45.4621205,33.5722387,Clear,41.34,92,1025,7.49
la palma,28.6552318,-17.85732234254766,Clear,58.59,82,1019,9.22
ambovombe,-25.178398,46.0877489,Clear,73.54,71,1013,5.77
narsaq,60.9127453,-46.0452698,Clouds,22.17,86,992,2.75
xushan,31.6119157,115.0948036,Clouds,62.58,55,1019,2.08
ayolas,-27.3898739,-56.844718,Rain,69.49,44,1011,1.66
terra roxa,-20.787015,-48.331442,Clouds,74.28,56,1011,4.68
tolmachevo,55.36123,38.2217123,Clouds,48.07,92,1019,12.26
roald,62.5838286,6.1241844,Rain,49.78,81,995,10.36
greenfield,42.5876342,-72.6002068,Clear,40.01,60,1031,4.34
viedma,-40.8084274,-62.994722,Clouds,75.42,29,1007,13.33
bystrzyca klodzka,50.2968684,16.652017,Clouds,46.27,100,1019,6.02
monrovia,6.328034,-10.797788,Clouds,78.33,84,1013,6.78
carauari,-4.8766426,-66.8961433,Clouds,78.21,79,1008,2.24
awbari,26.5909391,12.7695658,Clear,60.8,55,1019,5.82
wuwei,37.928881,102.6359886,Clear,40.24,65,1017,8.5
holme,52.48849835,-0.20447100155377979,Clouds,49.35,86,1013,16.06
mankono,8.0577294,-6.1897808,Clear,74.7,58,1012,3.27
shimoda,34.679545,138.945379,Clear,65.98,61,1025,12.37
quelimane,-17.87751,36.890216,Clouds,77.92,88,1010,5.01
havre-saint-pierre,50.2463647,-63.6003951,Clouds,28.71,64,1025,0.0
deputatskiy,54.8408485,61.1269918,Clouds,31.39,92,1022,8.01
straumen,67.3484259,15.5968083,Clouds,35.02,76,1002,7.92
luderitz,-26.6500086,15.157266,Clouds,58.53,78,1013,13.85
esmeraldas,-19.7613111,-44.3145945,Clouds,68.83,94,1017,2.57
puerto colombia,2.4954965,-68.27051058033612,Clouds,73.11,99,1010,3.47
neftcala,39.3790532,49.248607,Clouds,58.03,58,1024,7.4
pingliang,35.5432,106.6608107,Clouds,46.36,92,1017,4.43
bairiki,1.3296193,172.9777542,Clouds,86.02,70,1010,17.27
katsiveli,44.3972312,33.9724039,Clouds,49.08,82,1025,1.74
parry sound,45.3436067,-80.0337392,Clouds,55.22,38,1024,7.54
hauterive,48.4774049,0.1989853,Clear,45.5,92,1021,3.42
galveston,29.299328,-94.7945882,Clouds,75.11,85,1018,9.71
durango,43.1707065,-2.6334897,Clear,50.76,89,1023,3.74
nsanje,-16.9232359,35.261946,Clouds,76.78,76,1009,1.83
dire dawa,9.5913193,41.8566373,Clouds,67.73,72,1013,4.47
bowen,40.2333789,-91.0626375,Clear,69.4,81,1018,9.51
broome,-17.9566909,122.2240181,Clouds,82.29,69,1010,11.5
bella vista,36.4678036,-94.2669727,Clear,73.2,68,1019,7.74
aasiaat,68.709588,-52.8512976,Clouds,6.53,87,999,2.35
thoen,17.6052497,99.2094712,Clouds,66.99,87,1015,2.51
umm kaddadah,13.6002208,26.6892786,Clear,71.17,26,1012,12.44
placido de castro,-10.3239154,-67.1824196,Clouds,84.04,42,1006,2.93
bayan,46.3172426,127.3588535,Clouds,30.88,38,1029,3.94
niquero,20.0484084,-77.579635,Clouds,77.47,77,1009,8.19
paamiut,61.994618,-49.6659478,Clouds,18.25,80,995,8.32
la romana,38.3678386,-0.8961147,Clouds,57.74,74,1021,6.29
pangnirtung,66.1480197,-65.7172826,Snow,12.45,73,1008,0.0
zachepylivka,49.1954572,35.2408676,Clouds,39.61,74,1027,4.56
